,All
51->52,0.68
52->53,0.28
53->54,0.44
54->55,0.52
55->56,0.28
56->57,0.76
57->58,0.48
58->59,0.64
59->60,0.48
60->61,0.36
61->62,0.52
62->63,0.44
63->64,0.68
64->65,0.6
65->66,0.6
66->67,0.76
67->68,0.4
68->69,0.8
69->70,0.36
70->71,0.56
71->72,0.6
72->73,0.6
73->74,0.64
74->75,0.56
75->76,0.56
76->77,0.6
77->78,0.44
78->79,0.64
79->80,0.48
80->81,0.52
81->82,0.52
82->83,0.44
83->84,0.56
84->85,0.56
85->86,0.52
86->87,0.52
87->88,0.56
88->89,0.64
89->90,0.76
90->91,0.44
91->92,0.4
92->93,0.48
93->94,0.56
94->95,0.52
95->96,0.6
96->97,0.72
97->98,0.6
98->99,0.48
99->100,0.52
100->101,0.44
