,All
51->52,0.1694915254237288
52->53,0.30434782608695654
53->54,0.20408163265306123
54->55,0.045454545454545456
55->56,0.18181818181818182
56->57,0.09090909090909091
57->58,0.2
58->59,0.09090909090909091
59->60,0.3181818181818182
60->61,0.0
61->62,0.2
62->63,0.0
63->64,0.14285714285714285
64->65,0.3
65->66,0.043478260869565216
66->67,0.15
67->68,0.6666666666666666
68->69,0.16666666666666666
69->70,0.0
70->71,0.0
71->72,1.0
72->73,0.18181818181818182
73->74,0.5
74->75,0.1111111111111111
75->76,0.09523809523809523
76->77,0.058823529411764705
77->78,0.1
78->79,0.1111111111111111
79->80,0.18181818181818182
80->81,0.2222222222222222
81->82,0.25
82->83,0.25
83->84,0.017045454545454544
84->85,0.35714285714285715
85->86,0.21428571428571427
86->87,0.16666666666666666
87->88,0.0042643923240938165
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.08
92->93,0.0
93->94,0.14285714285714285
94->95,0.0
95->96,0.0
96->97,0.04
97->98,0.0
98->99,0.0
99->100,0.07142857142857142
100->101,0.3333333333333333
