,All
51->52,0.0
52->53,0.06520326171589681
53->54,0.06520326171589681
54->55,0.07110646068740739
55->56,0.17580445365388583
56->57,0.0780057052211985
57->58,0.18354997626780142
58->59,0.10554427104660292
59->60,0.4946817281405078
60->61,0.07366303835498346
61->62,0.36436105219359355
62->63,0.0
63->64,0.07366303835498346
64->65,0.402977380416637
65->66,0.0
66->67,0.1455061688618945
67->68,0.5776228091916425
68->69,0.08114295068041447
69->70,0.17920730940158638
70->71,0.0
71->72,0.3238126503165582
72->73,0.15407727450920353
73->74,0.4596665324249282
74->75,0.0780057052211985
75->76,0.0
76->77,0.067500463640696
77->78,0.07366303835498346
78->79,0.10554427104660292
79->80,0.13219333519486048
80->81,0.15131755554261664
81->82,0.3638506620318613
82->83,0.3638506620318613
83->84,0.0
84->85,0.4839702042302244
85->86,0.4341108446391442
86->87,0.29686058855289754
87->88,0.0
88->89,0.1573585851954543
89->90,0.0
90->91,0.09215532347955749
91->92,0.10554427104660292
92->93,0.30191750944428364
93->94,0.0
94->95,0.0
95->96,0.21250157240190062
96->97,0.23165732683700074
97->98,0.09215532347955749
98->99,0.07366303835498346
99->100,0.13219333519486048
100->101,0.13219333519486048
