,All
51->52,0.0
52->53,0.10554427104660292
53->54,0.29401613231797963
54->55,0.0
55->56,0.08381709190192062
56->57,0.23607854444182383
57->58,0.0
58->59,0.1377606462479789
59->60,0.0702601826072829
60->61,0.6312177302015833
61->62,0.5971694875070983
62->63,0.3298929297210209
63->64,0.13886630007088027
64->65,0.3952177364983675
65->66,0.10554427104660292
66->67,0.0
67->68,0.5911797184862803
68->69,0.067500463640696
69->70,0.06520326171589681
70->71,0.0702601826072829
71->72,0.0
72->73,0.0
73->74,0.31408424966302234
74->75,0.0
75->76,0.0
76->77,0.31547441873892135
77->78,0.1596557871202535
78->79,0.29686058855289754
79->80,0.29184912231511395
80->81,0.0702601826072829
81->82,0.0
82->83,0.0780057052211985
83->84,0.0
84->85,0.7300460185571607
85->86,0.13219333519486048
86->87,0.0
87->88,0.0
88->89,0.08381709190192062
89->90,0.0
90->91,0.13219333519486048
91->92,0.0
92->93,0.0780057052211985
93->94,0.46374030656740267
94->95,0.0
95->96,0.08381709190192062
96->97,0.07366303835498346
97->98,0.15166874357618196
98->99,0.31140064459644684
99->100,0.14902035361781743
100->101,0.48207206345893516
