,All
51->52,0.0
52->53,0.0
53->54,0.13177639053537307
54->55,0.05059568297461705
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.03343749138471349
60->61,0.03635628798853883
61->62,0.0
62->63,0.0
63->64,0.044808643601671715
64->65,0.0
65->66,0.17755004954207163
66->67,0.0
67->68,0.0
68->69,0.0
69->70,0.0922553384384305
70->71,0.0
71->72,0.035510009908414325
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.04734667987788577
77->78,0.0
78->79,0.03635628798853883
79->80,0.0
80->81,0.21183381900690962
81->82,0.03406297225598251
82->83,0.17802555409710347
83->84,0.25786870305215764
84->85,0.21175215149540078
85->86,0.0
86->87,0.03475017269886857
87->88,0.03343749138471349
88->89,0.08293397412293688
89->90,0.0
90->91,0.08728687922030569
91->92,0.0
92->93,0.0
93->94,0.03730675036644463
94->95,0.0
95->96,0.12512729711175774
96->97,0.032864970567577
97->98,0.07074424175115814
98->99,0.07248603762339259
99->100,0.0
100->101,0.03635628798853883
