,All
51->52,0.0
52->53,0.0
53->54,0.15
54->55,0.05
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.05
60->61,0.05
61->62,0.0
62->63,0.0
63->64,0.05
64->65,0.0
65->66,0.1
66->67,0.0
67->68,0.0
68->69,0.0
69->70,0.1
70->71,0.0
71->72,0.05
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.05
77->78,0.0
78->79,0.05
79->80,0.0
80->81,0.15
81->82,0.05
82->83,0.2
83->84,0.15
84->85,0.2
85->86,0.0
86->87,0.05
87->88,0.05
88->89,0.1
89->90,0.0
90->91,0.1
91->92,0.0
92->93,0.0
93->94,0.05
94->95,0.0
95->96,0.1
96->97,0.05
97->98,0.1
98->99,0.1
99->100,0.0
100->101,0.05
