,All
51->52,0.0738153094715159
52->53,0.2505307054838747
53->54,0.28714691122320096
54->55,0.06049216670481951
55->56,0.11301932719714074
56->57,0.23027089587734867
57->58,0.0
58->59,0.35778085955951233
59->60,0.33062788958584616
60->61,0.25423605512637115
61->62,0.4030062792905604
62->63,0.09021262335886342
63->64,0.0
64->65,0.2998780703504516
65->66,0.06075680159513082
66->67,0.10482376047666542
67->68,0.4863629692636596
68->69,0.09507379532057389
69->70,0.04575182596987993
70->71,0.031450809460012545
71->72,0.2030794480912638
72->73,0.031450809460012545
73->74,0.3301930886677172
74->75,0.06358655464884151
75->76,0.06367753570068647
76->77,0.11455461814341573
77->78,0.2532593662939521
78->79,0.09033778720709801
79->80,0.1418016266535623
80->81,0.056986373104260996
81->82,0.13402621976328655
82->83,0.23125201892696942
83->84,0.2914178848248826
84->85,0.4050394509044072
85->86,0.37316324352492136
86->87,0.27991675236364333
87->88,0.09596341970101324
88->89,0.2969924936985809
89->90,0.06463172381329212
90->91,0.12493858856253404
91->92,0.3629832750250114
92->93,0.16300505138521396
93->94,0.3558146081418141
94->95,0.1853076968653917
95->96,0.22777451180592648
96->97,0.1751236581437072
97->98,0.306611787113144
98->99,0.1108114735246119
99->100,0.15717582724030854
100->101,0.3870765625381028
