,All
51->52,0.2268041237113402
52->53,0.25
53->54,0.16
54->55,0.05263157894736842
55->56,0.2777777777777778
56->57,0.125
57->58,0.16666666666666666
58->59,0.08333333333333333
59->60,0.3157894736842105
60->61,0.5
61->62,0.16666666666666666
62->63,0.0
63->64,0.0
64->65,0.3333333333333333
65->66,0.1
66->67,0.11764705882352941
67->68,0.8571428571428571
68->69,0.0
69->70,1.0
70->71,0.0
71->72,1.0
72->73,0.0
73->74,0.0
74->75,0.2
75->76,0.07142857142857142
76->77,0.11764705882352941
77->78,0.0
78->79,0.09090909090909091
79->80,0.2
80->81,0.0
81->82,0.14285714285714285
82->83,0.3333333333333333
83->84,0.18181818181818182
84->85,0.36363636363636365
85->86,0.15384615384615385
86->87,0.08333333333333333
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.5
91->92,0.17647058823529413
92->93,0.0
93->94,0.20689655172413793
94->95,0.0
95->96,0.0
96->97,0.09090909090909091
97->98,0.0
98->99,0.125
99->100,0.058823529411764705
100->101,0.5
