,All
51->52,0.16176470588235295
52->53,0.01639344262295082
53->54,0.022727272727272728
54->55,0.009615384615384616
55->56,0.05555555555555555
56->57,0.016260162601626018
57->58,0.007194244604316547
58->59,0.008264462809917356
59->60,0.03870967741935484
60->61,0.007692307692307693
61->62,0.008547008547008548
62->63,0.0
63->64,0.0
64->65,0.02727272727272727
65->66,0.009009009009009009
66->67,0.02531645569620253
67->68,0.05454545454545454
68->69,0.0
69->70,0.010309278350515464
70->71,0.0
71->72,0.013513513513513514
72->73,0.0
73->74,0.0
74->75,0.0125
75->76,0.008695652173913044
76->77,0.021739130434782608
77->78,0.0
78->79,0.00847457627118644
79->80,0.038461538461538464
80->81,0.0
81->82,0.010416666666666666
82->83,0.027522935779816515
83->84,0.01652892561983471
84->85,0.03305785123966942
85->86,0.01639344262295082
86->87,0.007246376811594203
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.011363636363636364
91->92,0.021739130434782608
92->93,0.0
93->94,0.041666666666666664
94->95,0.0
95->96,0.0
96->97,0.01652892561983471
97->98,0.0
98->99,0.010638297872340425
99->100,0.012987012987012988
100->101,0.008695652173913044
