,All
51->52,0.4
52->53,0.4
53->54,0.0
54->55,0.2
55->56,0.4
56->57,0.2
57->58,0.2
58->59,0.2
59->60,0.2
60->61,0.2
61->62,0.2
62->63,0.0
63->64,0.0
64->65,0.4
65->66,0.2
66->67,0.0
67->68,0.8
68->69,0.0
69->70,0.4
70->71,0.0
71->72,0.4
72->73,0.0
73->74,0.4
74->75,0.2
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.0
79->80,0.4
80->81,0.0
81->82,0.2
82->83,0.4
83->84,0.2
84->85,0.8
85->86,0.4
86->87,0.2
87->88,0.0
88->89,0.2
89->90,0.2
90->91,0.2
91->92,0.0
92->93,0.0
93->94,0.0
94->95,0.0
95->96,0.0
96->97,0.2
97->98,0.2
98->99,0.0
99->100,0.2
100->101,0.2
