,All
51->52,0.3157433114626619
52->53,0.2697565175914736
53->54,0.0
54->55,0.10554427104660292
55->56,0.32482480727170326
56->57,0.17016102870075597
57->58,0.09215532347955749
58->59,0.23165732683700074
59->60,0.3035790080825198
60->61,0.30532036519198424
61->62,0.33765865634030406
62->63,0.0
63->64,0.0
64->65,0.4047020615242996
65->66,0.13219333519486048
66->67,0.0
67->68,0.6648427568412638
68->69,0.0
69->70,0.3638506620318613
70->71,0.0
71->72,0.4481781440955142
72->73,0.03406297225598251
73->74,0.3157433114626619
74->75,0.08381709190192062
75->76,0.06520326171589681
76->77,0.06520326171589681
77->78,0.1455061688618945
78->79,0.032864970567577
79->80,0.23773760624146342
80->81,0.067500463640696
81->82,0.2276187678027372
82->83,0.3913131139572542
83->84,0.20397431311001302
84->85,0.4137100216229415
85->86,0.31547441873892135
86->87,0.23165732683700074
87->88,0.0
88->89,0.16241550608684038
89->90,0.17074753276249974
90->91,0.23165732683700074
91->92,0.06894750129312781
92->93,0.1377606462479789
93->94,0.0702601826072829
94->95,0.0
95->96,0.17991697853391517
96->97,0.23165732683700074
97->98,0.210199040416059
98->99,0.0780057052211985
99->100,0.13219333519486048
100->101,0.13219333519486048
