,All
51->52,0.17580445365388583
52->53,0.3638506620318613
53->54,0.09215532347955749
54->55,0.08381709190192062
55->56,0.07366303835498346
56->57,0.2713626328811439
57->58,0.0
58->59,0.4670216172536536
59->60,0.44362919489951835
60->61,0.3238126503165582
61->62,0.37716349569889523
62->63,0.2276187678027372
63->64,0.0
64->65,0.4076297422184789
65->66,0.09215532347955749
66->67,0.13219333519486048
67->68,0.5999292064736851
68->69,0.0
69->70,0.08381709190192062
70->71,0.0
71->72,0.30191750944428364
72->73,0.0780057052211985
73->74,0.5073626265843596
74->75,0.0
75->76,0.067500463640696
76->77,0.08381709190192062
77->78,0.23165732683700074
78->79,0.06520326171589681
79->80,0.07366303835498346
80->81,0.0
81->82,0.08381709190192062
82->83,0.26765677951804023
83->84,0.18936136294852354
84->85,0.3913131139572542
85->86,0.7238834438428732
86->87,0.0
87->88,0.23773760624146342
88->89,0.1573585851954543
89->90,0.067500463640696
90->91,0.1996937988355565
91->92,0.0
92->93,0.2024535178021434
93->94,0.6210636766546461
94->95,0.23165732683700074
95->96,0.1432089669370953
96->97,0.08381709190192062
97->98,0.4693949330784642
98->99,0.0780057052211985
99->100,0.23773760624146342
100->101,0.29401613231797963
