,All
51->52,0.0770139519675231
52->53,0.06397996005043637
53->54,0.060548637748328304
54->55,0.03452611121415187
55->56,0.26174794711980864
56->57,0.05346215000575392
57->58,0.0
58->59,0.0
59->60,0.1568809609790684
60->61,0.03084306068844151
61->62,0.23583997930223333
62->63,0.0
63->64,0.0
64->65,0.16512588880206958
65->66,0.0
66->67,0.0
67->68,0.1173774703251155
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.028415197358086435
72->73,0.0
73->74,0.04504503858588607
74->75,0.0
75->76,0.03167609303676757
76->77,0.013668405018453901
77->78,0.029571795516352282
78->79,0.07470797057988164
79->80,0.059311629677369755
80->81,0.06392054475892499
81->82,0.1090325061320232
82->83,0.15758819172786678
83->84,0.028673385524498485
84->85,0.15892194098046866
85->86,0.0
86->87,0.2636185498281573
87->88,0.0
88->89,0.10474377523289674
89->90,0.0296184348426511
90->91,0.17885681463920244
91->92,0.07952526613323659
92->93,0.047057798805990286
93->94,0.0
94->95,0.11004357287734878
95->96,0.046139883188270475
96->97,0.0
97->98,0.1211472525151301
98->99,0.03214480790685281
99->100,0.14476029450711614
100->101,0.10339117260433248
