,All
51->52,0.12
52->53,0.12
53->54,0.16
54->55,0.12
55->56,0.12
56->57,0.2
57->58,0.0
58->59,0.32
59->60,0.36
60->61,0.28
61->62,0.32
62->63,0.16
63->64,0.0
64->65,0.24
65->66,0.08
66->67,0.08
67->68,0.52
68->69,0.12
69->70,0.08
70->71,0.0
71->72,0.16
72->73,0.08
73->74,0.24
74->75,0.08
75->76,0.08
76->77,0.08
77->78,0.16
78->79,0.2
79->80,0.16
80->81,0.04
81->82,0.16
82->83,0.28
83->84,0.12
84->85,0.36
85->86,0.36
86->87,0.04
87->88,0.08
88->89,0.36
89->90,0.04
90->91,0.16
91->92,0.04
92->93,0.16
93->94,0.32
94->95,0.08
95->96,0.24
96->97,0.2
97->98,0.16
98->99,0.08
99->100,0.12
100->101,0.28
