,All
51->52,0.08
52->53,0.08
53->54,0.08
54->55,0.04
55->56,0.2
56->57,0.04
57->58,0.0
58->59,0.0
59->60,0.12
60->61,0.04
61->62,0.18
62->63,0.0
63->64,0.0
64->65,0.16
65->66,0.0
66->67,0.0
67->68,0.12
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.04
72->73,0.0
73->74,0.06
74->75,0.0
75->76,0.04
76->77,0.02
77->78,0.04
78->79,0.08
79->80,0.08
80->81,0.08
81->82,0.12
82->83,0.2
83->84,0.04
84->85,0.16
85->86,0.0
86->87,0.3
87->88,0.0
88->89,0.12
89->90,0.04
90->91,0.08
91->92,0.08
92->93,0.06
93->94,0.0
94->95,0.12
95->96,0.06
96->97,0.0
97->98,0.1
98->99,0.04
99->100,0.12
100->101,0.14
