,All
51->52,0.24675324675324675
52->53,0.25925925925925924
53->54,0.15625
54->55,0.0625
55->56,0.15384615384615385
56->57,0.08695652173913043
57->58,0.2222222222222222
58->59,0.1
59->60,0.30434782608695654
60->61,0.0
61->62,0.4
62->63,0.0
63->64,0.125
64->65,0.375
65->66,0.0
66->67,0.18181818181818182
67->68,0.4
68->69,0.16666666666666666
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.18181818181818182
73->74,0.6666666666666666
74->75,0.125
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.1111111111111111
79->80,0.15384615384615385
80->81,0.0
81->82,0.25
82->83,0.25
83->84,0.0058823529411764705
84->85,0.46153846153846156
85->86,0.3333333333333333
86->87,0.08695652173913043
87->88,0.0042643923240938165
88->89,0.16666666666666666
89->90,0.0
90->91,0.0
91->92,0.1875
92->93,0.0
93->94,0.14285714285714285
94->95,0.0
95->96,0.0
96->97,0.08333333333333333
97->98,0.0
98->99,0.0
99->100,0.125
100->101,0.3333333333333333
