,All
51->52,0.13970588235294118
52->53,0.03825136612021858
53->54,0.028409090909090908
54->55,0.009615384615384616
55->56,0.022222222222222223
56->57,0.016260162601626018
57->58,0.014388489208633094
58->59,0.008264462809917356
59->60,0.04516129032258064
60->61,0.0
61->62,0.017094017094017096
62->63,0.0
63->64,0.016129032258064516
64->65,0.02727272727272727
65->66,0.0
66->67,0.05063291139240506
67->68,0.01818181818181818
68->69,0.010416666666666666
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.017857142857142856
73->74,0.06
74->75,0.0125
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.00847457627118644
79->80,0.02564102564102564
80->81,0.0
81->82,0.020833333333333332
82->83,0.01834862385321101
83->84,0.008264462809917356
84->85,0.049586776859504134
85->86,0.03278688524590164
86->87,0.014492753623188406
87->88,0.03278688524590164
88->89,0.010526315789473684
89->90,0.0
90->91,0.0
91->92,0.021739130434782608
92->93,0.0
93->94,0.04861111111111111
94->95,0.0
95->96,0.0
96->97,0.01652892561983471
97->98,0.0
98->99,0.0
99->100,0.012987012987012988
100->101,0.008695652173913044
