,All
51->52,0.1427951440361373
52->53,0.1427951440361373
53->54,0.0
54->55,0.0
55->56,0.1635413866202963
56->57,0.0
57->58,0.12987501165334073
58->59,0.12987501165334073
59->60,0.501749354207772
60->61,0.0
61->62,0.3063365306564336
62->63,0.0
63->64,0.0
64->65,0.5637884576902256
65->66,0.0
66->67,0.20483424751859083
67->68,0.522495596791931
68->69,0.06625422345438903
69->70,0.27267015568947806
70->71,0.0
71->72,0.3063365306564336
72->73,0.12987501165334073
73->74,0.4982506457922279
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.1635413866202963
79->80,0.20483424751859083
80->81,0.0
81->82,0.5637884576902256
82->83,0.5637884576902256
83->84,0.0
84->85,0.6410457898283651
85->86,0.6652907408280683
86->87,0.3589542101716347
87->88,0.0
88->89,0.12987501165334073
89->90,0.0
90->91,0.12987501165334073
91->92,0.20483424751859083
92->93,0.34762939155472816
93->94,0.0
94->95,0.0
95->96,0.1635413866202963
96->97,0.5637884576902256
97->98,0.0
98->99,0.0
99->100,0.12987501165334073
100->101,0.20483424751859083
