,All
51->52,0.16581836183454093
52->53,0.3238126503165582
53->54,0.0780057052211985
54->55,0.0
55->56,0.08381709190192062
56->57,0.24875323798369822
57->58,0.0
58->59,0.3615165959586756
59->60,0.33656589459704067
60->61,0.3974756886715417
61->62,0.45082653405387874
62->63,0.0
63->64,0.0
64->65,0.40746178049088655
65->66,0.0780057052211985
66->67,0.23607854444182383
67->68,0.6752865217365192
68->69,0.0
69->70,0.10554427104660292
70->71,0.0
71->72,0.13886630007088027
72->73,0.07366303835498346
73->74,0.32155469814338405
74->75,0.06520326171589681
75->76,0.067500463640696
76->77,0.08381709190192062
77->78,0.30966303205819923
78->79,0.0
79->80,0.2946088412817009
80->81,0.0
81->82,0.1377606462479789
82->83,0.1973965969107573
83->84,0.30532036519198424
84->85,0.48887034145978564
85->86,0.487373059977925
86->87,0.6312177302015833
87->88,0.23773760624146342
88->89,0.09215532347955749
89->90,0.0780057052211985
90->91,0.15166874357618196
91->92,0.13219333519486048
92->93,0.2024535178021434
93->94,0.3974756886715417
94->95,0.29915779047769675
95->96,0.2572130146227849
96->97,0.15407727450920353
97->98,0.456516375673151
98->99,0.24963545373646154
99->100,0.23773760624146342
100->101,0.2980116970294014
