,All
51->52,0.24
52->53,0.28
53->54,0.2
54->55,0.04
55->56,0.2
56->57,0.08
57->58,0.16
58->59,0.26
59->60,0.28
60->61,0.04
61->62,0.12
62->63,0.04
63->64,0.04
64->65,0.2
65->66,0.0
66->67,0.16
67->68,0.24
68->69,0.08
69->70,0.12
70->71,0.0
71->72,0.12
72->73,0.16
73->74,0.4
74->75,0.12
75->76,0.04
76->77,0.12
77->78,0.16
78->79,0.08
79->80,0.16
80->81,0.04
81->82,0.12
82->83,0.2
83->84,0.04
84->85,0.4
85->86,0.28
86->87,0.16
87->88,0.0
88->89,0.12
89->90,0.02
90->91,0.04
91->92,0.12
92->93,0.12
93->94,0.12
94->95,0.0
95->96,0.36
96->97,0.08
97->98,0.0
98->99,0.08
99->100,0.04
100->101,0.24
