,All
51->52,0.08
52->53,0.12
53->54,0.16
54->55,0.08
55->56,0.08
56->57,0.28
57->58,0.0
58->59,0.32
59->60,0.32
60->61,0.24
61->62,0.4
62->63,0.08
63->64,0.0
64->65,0.12
65->66,0.08
66->67,0.16
67->68,0.4
68->69,0.08
69->70,0.16
70->71,0.0
71->72,0.08
72->73,0.08
73->74,0.2
74->75,0.08
75->76,0.08
76->77,0.08
77->78,0.12
78->79,0.12
79->80,0.2
80->81,0.08
81->82,0.12
82->83,0.24
83->84,0.16
84->85,0.4
85->86,0.28
86->87,0.32
87->88,0.12
88->89,0.36
89->90,0.04
90->91,0.12
91->92,0.12
92->93,0.16
93->94,0.28
94->95,0.08
95->96,0.28
96->97,0.16
97->98,0.24
98->99,0.12
99->100,0.12
100->101,0.2
