,All
51->52,0.1
52->53,0.04
53->54,0.04
54->55,0.04
55->56,0.1
56->57,0.06
57->58,0.04
58->59,0.0
59->60,0.04
60->61,0.0
61->62,0.08
62->63,0.0
63->64,0.04
64->65,0.38
65->66,0.0
66->67,0.0
67->68,0.2
68->69,0.04
69->70,0.04
70->71,0.0
71->72,0.08
72->73,0.0
73->74,0.04
74->75,0.04
75->76,0.0
76->77,0.02
77->78,0.06
78->79,0.12
79->80,0.0
80->81,0.0
81->82,0.0
82->83,0.08
83->84,0.08
84->85,0.08
85->86,0.1
86->87,0.16
87->88,0.0
88->89,0.08
89->90,0.0
90->91,0.04
91->92,0.02
92->93,0.04
93->94,0.04
94->95,0.04
95->96,0.2
96->97,0.0
97->98,0.04
98->99,0.08
99->100,0.12
100->101,0.06
