,All
51->52,0.0
52->53,0.10714285714285714
53->54,0.13793103448275862
54->55,0.058823529411764705
55->56,0.07692307692307693
56->57,0.05084745762711865
57->58,0.0
58->59,0.1
59->60,0.3181818181818182
60->61,0.0
61->62,0.2
62->63,0.0
63->64,0.0
64->65,0.3333333333333333
65->66,0.006944444444444444
66->67,0.17647058823529413
67->68,0.7142857142857143
68->69,0.16666666666666666
69->70,0.0
70->71,0.0
71->72,1.0
72->73,0.10526315789473684
73->74,0.2857142857142857
74->75,0.0
75->76,0.05263157894736842
76->77,0.005952380952380952
77->78,0.2
78->79,0.0
79->80,0.13333333333333333
80->81,0.09090909090909091
81->82,0.2857142857142857
82->83,0.3333333333333333
83->84,0.017045454545454544
84->85,0.42857142857142855
85->86,0.16666666666666666
86->87,0.07142857142857142
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.047619047619047616
92->93,0.0
93->94,0.04878048780487805
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.08333333333333333
100->101,0.0
