,All
51->52,0.0
52->53,0.03278688524590164
53->54,0.022727272727272728
54->55,0.009615384615384616
55->56,0.011111111111111112
56->57,0.024390243902439025
57->58,0.0
58->59,0.008264462809917356
59->60,0.04516129032258064
60->61,0.0
61->62,0.008547008547008548
62->63,0.0
63->64,0.0
64->65,0.03636363636363636
65->66,0.009009009009009009
66->67,0.0379746835443038
67->68,0.045454545454545456
68->69,0.010416666666666666
69->70,0.0
70->71,0.0
71->72,0.013513513513513514
72->73,0.017857142857142856
73->74,0.02
74->75,0.0
75->76,0.008695652173913044
76->77,0.010869565217391304
77->78,0.030303030303030304
78->79,0.0
79->80,0.02564102564102564
80->81,0.008928571428571428
81->82,0.020833333333333332
82->83,0.027522935779816515
83->84,0.024793388429752067
84->85,0.049586776859504134
85->86,0.01639344262295082
86->87,0.007246376811594203
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.007246376811594203
92->93,0.0
93->94,0.013888888888888888
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.012987012987012988
100->101,0.0
