,All
51->52,0.0
52->53,0.16182279712311912
53->54,0.15407727450920353
54->55,0.0
55->56,0.067500463640696
56->57,0.13219333519486048
57->58,0.0
58->59,0.0702601826072829
59->60,0.4946817281405078
60->61,0.15407727450920353
61->62,0.30532036519198424
62->63,0.0
63->64,0.0
64->65,0.4375137003868448
65->66,0.10554427104660292
66->67,0.07366303835498346
67->68,0.5810256649393432
68->69,0.08381709190192062
69->70,0.15166874357618196
70->71,0.0
71->72,0.33720159788360365
72->73,0.0
73->74,0.3789363233453538
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.1668962496334792
78->79,0.0
79->80,0.2024535178021434
80->81,0.06520326171589681
81->82,0.3638506620318613
82->83,0.23208297973040204
83->84,0.08381709190192062
84->85,0.49171572684414
85->86,0.1976995945261604
86->87,0.23165732683700074
87->88,0.03233829114831982
88->89,0.09215532347955749
89->90,0.0
90->91,0.14826588782848138
91->92,0.08381709190192062
92->93,0.30532036519198424
93->94,0.14392322096226634
94->95,0.06520326171589681
95->96,0.29065112062670845
96->97,0.0702601826072829
97->98,0.0
98->99,0.0
99->100,0.13219333519486048
100->101,0.07366303835498346
