,All
51->52,0.16241550608684038
52->53,0.06520326171589681
53->54,0.06520326171589681
54->55,0.0
55->56,0.09215532347955749
56->57,0.06520326171589681
57->58,0.0
58->59,0.27335683719053994
59->60,0.14902035361781743
60->61,0.5748630902250557
61->62,0.5854284001817609
62->63,0.34936833810234236
63->64,0.14116350199567945
64->65,0.3952177364983675
65->66,0.09215532347955749
66->67,0.0
67->68,0.6178287826345379
68->69,0.067500463640696
69->70,0.067500463640696
70->71,0.06520326171589681
71->72,0.06520326171589681
72->73,0.0
73->74,0.21652081725851346
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.08381709190192062
78->79,0.23165732683700074
79->80,0.2946088412817009
80->81,0.0
81->82,0.06520326171589681
82->83,0.07366303835498346
83->84,0.06520326171589681
84->85,0.6614399010935632
85->86,0.13219333519486048
86->87,0.5999292064736851
87->88,0.0
88->89,0.15131755554261664
89->90,0.0
90->91,0.23165732683700074
91->92,0.0
92->93,0.09215532347955749
93->94,0.067500463640696
94->95,0.0
95->96,0.15407727450920353
96->97,0.0
97->98,0.18354997626780142
98->99,0.13219333519486048
99->100,0.13546344432317972
100->101,0.41457159981823916
