,All
51->52,0.0702601826072829
52->53,0.0
53->54,0.23824799640319577
54->55,0.09215532347955749
55->56,0.14392322096226634
56->57,0.17016102870075597
57->58,0.0
58->59,0.5395790017857356
59->60,0.33328458391078986
60->61,0.2648970605514533
61->62,0.36436105219359355
62->63,0.0780057052211985
63->64,0.0
64->65,0.4210186897855243
65->66,0.0702601826072829
66->67,0.0
67->68,0.6757616967900406
68->69,0.0
69->70,0.13219333519486048
70->71,0.0
71->72,0.14392322096226634
72->73,0.10554427104660292
73->74,0.44766775393378194
74->75,0.0
75->76,0.0
76->77,0.09215532347955749
77->78,0.29686058855289754
78->79,0.067500463640696
79->80,0.2353642904166528
80->81,0.10554427104660292
81->82,0.08381709190192062
82->83,0.2838620787710424
83->84,0.37052362690788104
84->85,0.4024048595995005
85->86,0.5413166143239833
86->87,0.0
87->88,0.22434865867441797
88->89,0.09215532347955749
89->90,0.067500463640696
90->91,0.3799232146654821
91->92,0.0
92->93,0.20585637354984396
93->94,0.46271820013906356
94->95,0.23165732683700074
95->96,0.24100771536978266
96->97,0.14116350199567945
97->98,0.4076297422184789
98->99,0.1573585851954543
99->100,0.1976995945261604
100->101,0.6543375152607613
