,All
51->52,0.03455792126621258
52->53,0.0
53->54,0.02885014314185903
54->55,0.013737594368807442
55->56,0.030528517396901194
56->57,0.014568593492552484
57->58,0.0
58->59,0.03954575837360944
59->60,0.06367558912316391
60->61,0.014996930707771972
61->62,0.029062491388211723
62->63,0.015240014410002665
63->64,0.0
64->65,0.06877854842164259
65->66,0.014036776925438001
66->67,0.0
67->68,0.055329316063656084
68->69,0.0
69->70,0.031450809460012545
70->71,0.0
71->72,0.15189091812804142
72->73,0.0
73->74,0.0
74->75,0.03549516197723882
75->76,0.0
76->77,0.12632267703508937
77->78,0.03360610589793586
78->79,0.04460371437617014
79->80,0.06770660344335487
80->81,0.06782826286492964
81->82,0.0
82->83,0.04551555827398788
83->84,0.0
84->85,0.11842042128795599
85->86,0.013882457939690169
86->87,0.0
87->88,0.036985008551018536
88->89,0.08230754000563531
89->90,0.0
90->91,0.08686426639171632
91->92,0.04336444192739601
92->93,0.028000280403445668
93->94,0.0
94->95,0.027620052308497612
95->96,0.0
96->97,0.02885014314185903
97->98,0.05526929476316916
98->99,0.0
99->100,0.027546501536516357
100->101,0.151345670444372
