,All
51->52,0.16
52->53,0.16
53->54,0.16
54->55,0.08
55->56,0.12
56->57,0.04
57->58,0.12
58->59,0.14
59->60,0.28
60->61,0.08
61->62,0.12
62->63,0.0
63->64,0.04
64->65,0.24
65->66,0.04
66->67,0.12
67->68,0.28
68->69,0.08
69->70,0.08
70->71,0.0
71->72,0.08
72->73,0.12
73->74,0.28
74->75,0.04
75->76,0.04
76->77,0.0
77->78,0.2
78->79,0.12
79->80,0.12
80->81,0.04
81->82,0.12
82->83,0.2
83->84,0.04
84->85,0.36
85->86,0.12
86->87,0.08
87->88,0.08
88->89,0.12
89->90,0.12
90->91,0.08
91->92,0.08
92->93,0.16
93->94,0.08
94->95,0.04
95->96,0.28
96->97,0.08
97->98,0.0
98->99,0.12
99->100,0.08
100->101,0.04
