,All
51->52,0.08
52->53,0.12
53->54,0.2
54->55,0.08
55->56,0.08
56->57,0.16
57->58,0.0
58->59,0.28
59->60,0.32
60->61,0.2
61->62,0.32
62->63,0.04
63->64,0.08
64->65,0.2
65->66,0.08
66->67,0.04
67->68,0.32
68->69,0.12
69->70,0.08
70->71,0.0
71->72,0.12
72->73,0.08
73->74,0.28
74->75,0.08
75->76,0.08
76->77,0.04
77->78,0.16
78->79,0.12
79->80,0.16
80->81,0.08
81->82,0.12
82->83,0.2
83->84,0.24
84->85,0.36
85->86,0.36
86->87,0.08
87->88,0.08
88->89,0.36
89->90,0.08
90->91,0.12
91->92,0.04
92->93,0.16
93->94,0.28
94->95,0.12
95->96,0.24
96->97,0.24
97->98,0.2
98->99,0.12
99->100,0.12
100->101,0.32
