,All
51->52,0.04
52->53,0.0
53->54,0.04
54->55,0.02
55->56,0.04
56->57,0.02
57->58,0.0
58->59,0.04
59->60,0.08
60->61,0.02
61->62,0.04
62->63,0.02
63->64,0.0
64->65,0.08
65->66,0.02
66->67,0.0
67->68,0.06
68->69,0.0
69->70,0.04
70->71,0.0
71->72,0.08
72->73,0.0
73->74,0.0
74->75,0.04
75->76,0.0
76->77,0.16
77->78,0.04
78->79,0.06
79->80,0.08
80->81,0.08
81->82,0.0
82->83,0.06
83->84,0.0
84->85,0.14
85->86,0.02
86->87,0.0
87->88,0.04
88->89,0.1
89->90,0.0
90->91,0.08
91->92,0.04
92->93,0.04
93->94,0.0
94->95,0.04
95->96,0.0
96->97,0.04
97->98,0.06
98->99,0.0
99->100,0.04
100->101,0.14
