,All
51->52,0.13846153846153847
52->53,0.29411764705882354
53->54,0.20408163265306123
54->55,0.058823529411764705
55->56,0.18181818181818182
56->57,0.03076923076923077
57->58,0.2
58->59,0.09090909090909091
59->60,0.3333333333333333
60->61,0.0
61->62,0.3333333333333333
62->63,0.0
63->64,0.14285714285714285
64->65,0.3
65->66,0.004694835680751174
66->67,0.14285714285714285
67->68,0.7142857142857143
68->69,0.1
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.1
73->74,0.4
74->75,0.2
75->76,0.08333333333333333
76->77,0.05555555555555555
77->78,0.1
78->79,0.14285714285714285
79->80,0.2
80->81,0.2222222222222222
81->82,0.1111111111111111
82->83,0.0
83->84,0.017045454545454544
84->85,0.2
85->86,0.2
86->87,0.125
87->88,0.002136752136752137
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.09523809523809523
92->93,0.0
93->94,0.11428571428571428
94->95,0.0
95->96,0.0
96->97,0.04
97->98,0.0
98->99,0.0
99->100,0.07142857142857142
100->101,0.0
