,All
51->52,0.0
52->53,0.0
53->54,0.0
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.0
60->61,0.007936507936507936
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.3333333333333333
65->66,0.0
66->67,0.07692307692307693
67->68,0.0
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.05555555555555555
74->75,0.0
75->76,0.06666666666666667
76->77,0.09523809523809523
77->78,0.5
78->79,0.1111111111111111
79->80,0.0
80->81,0.0
81->82,0.1111111111111111
82->83,0.0
83->84,0.0
84->85,0.18181818181818182
85->86,0.07142857142857142
86->87,0.1935483870967742
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.09090909090909091
91->92,0.06666666666666667
92->93,0.0
93->94,0.013071895424836602
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.0
100->101,0.13043478260869565
