,All
51->52,0.0661764705882353
52->53,0.0273224043715847
53->54,0.056818181818181816
54->55,0.009615384615384616
55->56,0.022222222222222223
56->57,0.016260162601626018
57->58,0.014388489208633094
58->59,0.008264462809917356
59->60,0.04516129032258064
60->61,0.0
61->62,0.008547008547008548
62->63,0.0
63->64,0.016129032258064516
64->65,0.02727272727272727
65->66,0.009009009009009009
66->67,0.02531645569620253
67->68,0.045454545454545456
68->69,0.010416666666666666
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.008928571428571428
73->74,0.02
74->75,0.0125
75->76,0.017391304347826087
76->77,0.010869565217391304
77->78,0.015151515151515152
78->79,0.00847457627118644
79->80,0.02564102564102564
80->81,0.017857142857142856
81->82,0.010416666666666666
82->83,0.0
83->84,0.024793388429752067
84->85,0.01652892561983471
85->86,0.02459016393442623
86->87,0.007246376811594203
87->88,0.01639344262295082
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.014492753623188406
92->93,0.0
93->94,0.027777777777777776
94->95,0.0
95->96,0.0
96->97,0.008264462809917356
97->98,0.0
98->99,0.0
99->100,0.012987012987012988
100->101,0.0
