,All
51->52,0.0
52->53,0.0
53->54,0.0
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.0
60->61,0.007692307692307693
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.02727272727272727
65->66,0.0
66->67,0.012658227848101266
67->68,0.0
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.01
74->75,0.0
75->76,0.008695652173913044
76->77,0.021739130434782608
77->78,0.015151515151515152
78->79,0.00847457627118644
79->80,0.0
80->81,0.0
81->82,0.010416666666666666
82->83,0.0
83->84,0.0
84->85,0.01652892561983471
85->86,0.00819672131147541
86->87,0.043478260869565216
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.011363636363636364
91->92,0.014492753623188406
92->93,0.0
93->94,0.013888888888888888
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.0
100->101,0.05217391304347826
