,All
51->52,0.0
52->53,0.1377606462479789
53->54,0.06520326171589681
54->55,0.0
55->56,0.17580445365388583
56->57,0.0
57->58,0.18354997626780142
58->59,0.10554427104660292
59->60,0.4885191534262204
60->61,0.07366303835498346
61->62,0.44078380951516394
62->63,0.0
63->64,0.07366303835498346
64->65,0.402977380416637
65->66,0.10554427104660292
66->67,0.1996937988355565
67->68,0.487373059977925
68->69,0.09215532347955749
69->70,0.17920730940158638
70->71,0.0
71->72,0.18936136294852354
72->73,0.07366303835498346
73->74,0.5125800468101733
74->75,0.08381709190192062
75->76,0.0
76->77,0.0780057052211985
77->78,0.07366303835498346
78->79,0.0780057052211985
79->80,0.1996937988355565
80->81,0.15131755554261664
81->82,0.09215532347955749
82->83,0.13270372535659283
83->84,0.0
84->85,0.1976995945261604
85->86,0.41520730310480214
86->87,0.13219333519486048
87->88,0.0
88->89,0.15166874357618196
89->90,0.0
90->91,0.14392322096226634
91->92,0.0702601826072829
92->93,0.33720159788360365
93->94,0.0
94->95,0.0
95->96,0.3861093644930798
96->97,0.23165732683700074
97->98,0.0
98->99,0.07366303835498346
99->100,0.13219333519486048
100->101,0.23165732683700074
