,All
51->52,0.0
52->53,0.08381709190192062
53->54,0.06520326171589681
54->55,0.0
55->56,0.07366303835498346
56->57,0.067500463640696
57->58,0.0
58->59,0.2648970605514533
59->60,0.1455061688618945
60->61,0.5834341958723647
61->62,0.5830198692487393
62->63,0.38182878893132205
63->64,0.067500463640696
64->65,0.39739339336171686
65->66,0.08381709190192062
66->67,0.0
67->68,0.6176608209069456
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.21687200529207873
74->75,0.0
75->76,0.06520326171589681
76->77,0.0
77->78,0.1596557871202535
78->79,0.23165732683700074
79->80,0.3571739290924606
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.067500463640696
84->85,0.6378906950776032
85->86,0.13219333519486048
86->87,0.06520326171589681
87->88,0.0
88->89,0.08381709190192062
89->90,0.0
90->91,0.10554427104660292
91->92,0.0
92->93,0.0780057052211985
93->94,0.45358625302046557
94->95,0.0
95->96,0.14826588782848138
96->97,0.07366303835498346
97->98,0.16182279712311912
98->99,0.1973965969107573
99->100,0.13546344432317972
100->101,0.48712898435032126
