,All
51->52,0.08134323358140896
52->53,0.15853880918251143
53->54,0.11790997807196536
54->55,0.06049216670481951
55->56,0.10524574652153487
56->57,0.25727887798210985
57->58,0.0
58->59,0.2343825344787848
59->60,0.23654388071026256
60->61,0.28242526749824165
61->62,0.3388484067268763
62->63,0.09989474527674871
63->64,0.11923653992054796
64->65,0.22725856668022293
65->66,0.0
66->67,0.0802779371840318
67->68,0.45290901847879556
68->69,0.0991295872672079
69->70,0.1181028014127374
70->71,0.030876734103266044
71->72,0.09059247900219686
72->73,0.0
73->74,0.16508347361382708
74->75,0.027995147037312474
75->76,0.0644828400012019
76->77,0.10182471318235888
77->78,0.23020547728558718
78->79,0.09779770044737648
79->80,0.18717456437857366
80->81,0.11257626989704433
81->82,0.15462012743138845
82->83,0.2633955635831181
83->84,0.2623609869802829
84->85,0.44631500858469864
85->86,0.43399992656894076
86->87,0.2926605328415339
87->88,0.0
88->89,0.29097438055023533
89->90,0.027995147037312474
90->91,0.06133087695187732
91->92,0.17675416419200868
92->93,0.16034213757600618
93->94,0.35257619327952616
94->95,0.1554912042198809
95->96,0.2638680041607504
96->97,0.13116900587855215
97->98,0.17171143923290325
98->99,0.11599730323622033
99->100,0.20416016357927
100->101,0.31845369734132434
