,All
51->52,0.06238152804671481
52->53,0.0
53->54,0.05889275908212885
54->55,0.0
55->56,0.027405999387261345
56->57,0.0
57->58,0.0
58->59,0.042784710288973106
59->60,0.0790495543042402
60->61,0.029909287210909435
61->62,0.014774023995642552
62->63,0.0
63->64,0.0
64->65,0.20555349113802526
65->66,0.015800842814876977
66->67,0.0669206107836026
67->68,0.16114909230679142
68->69,0.0
69->70,0.01630596033570318
70->71,0.0
71->72,0.04101053711359241
72->73,0.0
73->74,0.03300178463399382
74->75,0.0
75->76,0.06971415801950101
76->77,0.06912756923354701
77->78,0.1610131286061819
78->79,0.09992727256909902
79->80,0.0
80->81,0.0
81->82,0.11833128186552122
82->83,0.1443364283616469
83->84,0.047797732305192395
84->85,0.2591195078986921
85->86,0.03690794082040957
86->87,0.12243050804316269
87->88,0.0
88->89,0.05075401813709623
89->90,0.0
90->91,0.12645088801811782
91->92,0.03163459866224653
92->93,0.09325104689238956
93->94,0.014288467392569169
94->95,0.05956937453875282
95->96,0.2370767954325781
96->97,0.0
97->98,0.06371232445046056
98->99,0.0
99->100,0.07130257542133604
100->101,0.10188457287352533
