,All
51->52,0.08
52->53,0.08
53->54,0.08
54->55,0.08
55->56,0.12
56->57,0.28
57->58,0.0
58->59,0.24
59->60,0.28
60->61,0.24
61->62,0.28
62->63,0.12
63->64,0.12
64->65,0.2
65->66,0.0
66->67,0.08
67->68,0.36
68->69,0.12
69->70,0.12
70->71,0.04
71->72,0.12
72->73,0.0
73->74,0.2
74->75,0.04
75->76,0.08
76->77,0.12
77->78,0.16
78->79,0.12
79->80,0.16
80->81,0.12
81->82,0.16
82->83,0.28
83->84,0.16
84->85,0.4
85->86,0.32
86->87,0.32
87->88,0.0
88->89,0.36
89->90,0.04
90->91,0.08
91->92,0.08
92->93,0.16
93->94,0.32
94->95,0.08
95->96,0.28
96->97,0.16
97->98,0.16
98->99,0.12
99->100,0.12
100->101,0.28
