,All
51->52,0.08
52->53,0.0
53->54,0.08
54->55,0.0
55->56,0.04
56->57,0.0
57->58,0.0
58->59,0.06
59->60,0.1
60->61,0.04
61->62,0.02
62->63,0.0
63->64,0.0
64->65,0.12
65->66,0.02
66->67,0.08
67->68,0.16
68->69,0.0
69->70,0.02
70->71,0.0
71->72,0.04
72->73,0.0
73->74,0.04
74->75,0.0
75->76,0.06
76->77,0.08
77->78,0.08
78->79,0.12
79->80,0.0
80->81,0.0
81->82,0.08
82->83,0.12
83->84,0.06
84->85,0.2
85->86,0.04
86->87,0.16
87->88,0.0
88->89,0.06
89->90,0.0
90->91,0.04
91->92,0.04
92->93,0.1
93->94,0.02
94->95,0.08
95->96,0.28
96->97,0.0
97->98,0.08
98->99,0.0
99->100,0.08
100->101,0.12
