,All
51->52,0.25
52->53,0.36363636363636365
53->54,0.125
54->55,0.07692307692307693
55->56,0.0
56->57,0.13333333333333333
57->58,0.0
58->59,0.1111111111111111
59->60,0.2777777777777778
60->61,0.0
61->62,0.25
62->63,0.0
63->64,0.0
64->65,0.5
65->66,0.0
66->67,0.11764705882352941
67->68,0.625
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.14285714285714285
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.16666666666666666
78->79,0.0
79->80,0.08333333333333333
80->81,0.1111111111111111
81->82,0.25
82->83,0.0
83->84,0.3333333333333333
84->85,0.3333333333333333
85->86,0.1111111111111111
86->87,0.0625
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.25
92->93,0.0
93->94,0.19047619047619047
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.2
100->101,0.0
