,All
51->52,0.021827000808407437
52->53,0.014524245196706313
53->54,0.025311673592746504
54->55,0.016976556184316895
55->56,0.038011695906432746
56->57,0.02673456397199236
57->58,0.0009275931685491351
58->59,0.04291287386215865
59->60,0.04162330905306972
60->61,0.025333333333333333
61->62,0.04366197183098591
62->63,0.016744809109176157
63->64,0.02263374485596708
64->65,0.029440628066732092
65->66,0.03597122302158273
66->67,0.017467248908296942
67->68,0.04607508532423208
68->69,0.018610421836228287
69->70,0.04582651391162029
70->71,0.007858546168958742
71->72,0.015570934256055362
72->73,0.01277139208173691
73->74,0.024255788313120176
74->75,0.034482758620689655
75->76,0.02013888888888889
76->77,0.040993788819875775
77->78,0.03546099290780142
78->79,0.04665314401622718
79->80,0.01699029126213592
80->81,0.048625792811839326
81->82,0.018518518518518517
82->83,0.06701030927835051
83->84,0.052715654952076675
84->85,0.03177004538577912
85->86,0.04468412942989214
86->87,0.04625984251968504
87->88,0.014611872146118721
88->89,0.07608695652173914
89->90,0.025380710659898477
90->91,0.0392156862745098
91->92,0.016153268219383923
92->93,0.04067796610169491
93->94,0.0326975476839237
94->95,0.03910614525139665
95->96,0.055288461538461536
96->97,0.045936395759717315
97->98,0.028735632183908046
98->99,0.04830917874396135
99->100,0.02857142857142857
100->101,0.0647887323943662
