,All
51->52,0.19852941176470587
52->53,0.6939890710382514
53->54,0.3806818181818182
54->55,0.20192307692307693
55->56,0.28888888888888886
56->57,0.34146341463414637
57->58,0.2446043165467626
58->59,0.2727272727272727
59->60,0.25806451612903225
60->61,0.2923076923076923
61->62,0.26495726495726496
62->63,0.25773195876288657
63->64,0.1774193548387097
64->65,0.2727272727272727
65->66,0.13513513513513514
66->67,0.20253164556962025
67->68,0.24545454545454545
68->69,0.15625
69->70,0.28865979381443296
70->71,0.04878048780487805
71->72,0.12162162162162163
72->73,0.08928571428571429
73->74,0.22
74->75,0.2875
75->76,0.25217391304347825
76->77,0.358695652173913
77->78,0.22727272727272727
78->79,0.19491525423728814
79->80,0.1794871794871795
80->81,0.20535714285714285
81->82,0.125
82->83,0.23853211009174313
83->84,0.2727272727272727
84->85,0.34710743801652894
85->86,0.23770491803278687
86->87,0.34057971014492755
87->88,0.26229508196721313
88->89,0.14736842105263157
89->90,0.1282051282051282
90->91,0.22727272727272727
91->92,0.3115942028985507
92->93,0.13186813186813187
93->94,0.16666666666666666
94->95,0.23333333333333334
95->96,0.19327731092436976
96->97,0.21487603305785125
97->98,0.04950495049504951
98->99,0.2127659574468085
99->100,0.2077922077922078
100->101,0.2
