,All
51->52,0.0
52->53,0.0
53->54,0.12987501165334073
54->55,0.0
55->56,0.0
56->57,0.1427951440361373
57->58,0.0
58->59,0.27267015568947806
59->60,0.0
60->61,0.1635413866202963
61->62,0.522495596791931
62->63,0.0
63->64,0.1427951440361373
64->65,0.522495596791931
65->66,0.0
66->67,0.0
67->68,0.7065836017263629
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.1635413866202963
74->75,0.0
75->76,0.0
76->77,0.1427951440361373
77->78,0.3589542101716347
78->79,0.0
79->80,0.501749354207772
80->81,0.0
81->82,0.0
82->83,0.501749354207772
83->84,0.3589542101716347
84->85,0.4888292218249754
85->86,0.33470925917193156
86->87,0.0
87->88,0.1427951440361373
88->89,0.12987501165334073
89->90,0.12987501165334073
90->91,0.0
91->92,0.0
92->93,0.20483424751859083
93->94,0.6410457898283651
94->95,0.3589542101716347
95->96,0.33470925917193156
96->97,0.0
97->98,0.20483424751859083
98->99,0.0
99->100,0.522495596791931
100->101,0.7951657524814091
