,All
51->52,0.18073944011678456
52->53,0.22987174805317273
53->54,0.0905124797474709
54->55,0.07170055733419327
55->56,0.09349804419102602
56->57,0.11314388612169447
57->58,0.029880067491864778
58->59,0.23158017380399365
59->60,0.3107677735854395
60->61,0.19853887308132318
61->62,0.32447785646918864
62->63,0.0
63->64,0.06071556407717483
64->65,0.395349087686534
65->66,0.030876734103266044
66->67,0.11850578200752364
67->68,0.41268442103582836
68->69,0.10800893792977449
69->70,0.23545438270246682
70->71,0.0
71->72,0.15660142619715872
72->73,0.06917180179589505
73->74,0.27457216744201834
74->75,0.027691365107399078
75->76,0.0
76->77,0.062145951731916664
77->78,0.12477885875738082
78->79,0.05870464049398703
79->80,0.10360896156209798
80->81,0.1342387255799877
81->82,0.12145582172136274
82->83,0.12466769448570325
83->84,0.29050567871522504
84->85,0.29146338672692385
85->86,0.0890624852109743
86->87,0.1547703732971612
87->88,0.09627798514555028
88->89,0.2006674613194887
89->90,0.13895490933237073
90->91,0.06626076932957188
91->92,0.21810782636659198
92->93,0.14352960589850083
93->94,0.1524336714712226
94->95,0.0
95->96,0.298927136739749
96->97,0.10203821959395021
97->98,0.16204229562964684
98->99,0.11118378604539363
99->100,0.10880122866436513
100->101,0.10414213669163017
