,All
51->52,0.0
52->53,0.019845195332103254
53->54,0.19013676874392396
54->55,0.0
55->56,0.0
56->57,0.015240014410002665
57->58,0.0
58->59,0.06084358222473132
59->60,0.08271553392180224
60->61,0.0
61->62,0.03033834433699714
62->63,0.0
63->64,0.025844335670336095
64->65,0.048848223266828195
65->66,0.05832891441163256
66->67,0.016127997260044876
67->68,0.055723969129047854
68->69,0.0682351569224867
69->70,0.04059577755813975
70->71,0.0
71->72,0.034208506607302056
72->73,0.018593381651754125
73->74,0.036669968577179975
74->75,0.04445837669954529
75->76,0.03793324569654353
76->77,0.0
77->78,0.03614965957434813
78->79,0.08962283288174505
79->80,0.014568593492552484
80->81,0.1046094189201034
81->82,0.014036776925438001
82->83,0.028336790544522913
83->84,0.043729324815288996
84->85,0.06444770447320539
85->86,0.11343135609314656
86->87,0.11104660736156542
87->88,0.031858020704447175
88->89,0.10829294812795336
89->90,0.07653793331560714
90->91,0.018968492197299396
91->92,0.07047491021697191
92->93,0.07241747082800591
93->94,0.03608047022399459
94->95,0.015800842814876977
95->96,0.03149812996110927
96->97,0.10127957543191099
97->98,0.04835591327572423
98->99,0.03250804211566266
99->100,0.08167883936112791
100->101,0.04851629137808705
