,All
51->52,0.16
52->53,0.06
53->54,0.0
54->55,0.04
55->56,0.12
56->57,0.04
57->58,0.04
58->59,0.0
59->60,0.04
60->61,0.04
61->62,0.04
62->63,0.04
63->64,0.0
64->65,0.16
65->66,0.02
66->67,0.0
67->68,0.08
68->69,0.0
69->70,0.08
70->71,0.0
71->72,0.04
72->73,0.0
73->74,0.04
74->75,0.0
75->76,0.04
76->77,0.16
77->78,0.12
78->79,0.12
79->80,0.0
80->81,0.04
81->82,0.0
82->83,0.12
83->84,0.08
84->85,0.04
85->86,0.0
86->87,0.08
87->88,0.0
88->89,0.16
89->90,0.0
90->91,0.04
91->92,0.12
92->93,0.04
93->94,0.0
94->95,0.04
95->96,0.06
96->97,0.0
97->98,0.08
98->99,0.0
99->100,0.08
100->101,0.14
