,All
51->52,0.5
52->53,0.07272727272727272
53->54,0.5714285714285714
54->55,0.1111111111111111
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.03125
60->61,0.0
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.08695652173913043
65->66,0.0
66->67,0.0
67->68,0.0
68->69,0.0
69->70,0.3333333333333333
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.029411764705882353
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.0
79->80,0.0
80->81,0.125
81->82,0.0
82->83,0.15384615384615385
83->84,0.0
84->85,0.034482758620689655
85->86,0.058823529411764705
86->87,0.29411764705882354
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.1
92->93,0.25
93->94,0.16666666666666666
94->95,0.0
95->96,0.0
96->97,0.25
97->98,0.0
98->99,0.09090909090909091
99->100,0.15384615384615385
100->101,0.09090909090909091
