,All
51->52,0.1835743235755782
52->53,0.0
53->54,0.1420400396336573
54->55,0.0
55->56,0.0
56->57,0.1679642755653151
57->58,0.07569138853182752
58->59,0.0
59->60,0.3948029514054004
60->61,0.16563082657957398
61->62,0.4047020615242996
62->63,0.16770334510327484
63->64,0.0
64->65,0.33720159788360365
65->66,0.044808643601671715
66->67,0.07366303835498346
67->68,0.3298929297210209
68->69,0.07366303835498346
69->70,0.13219333519486048
70->71,0.0
71->72,0.21821867539915898
72->73,0.09794236285250282
73->74,0.30532036519198424
74->75,0.0
75->76,0.0
76->77,0.13840924161417992
77->78,0.21792465323812915
78->79,0.10554427104660292
79->80,0.22774031286418694
80->81,0.0
81->82,0.07186629789695316
82->83,0.14699737486118306
83->84,0.07366303835498346
84->85,0.4288760098330382
85->86,0.3242294191196056
86->87,0.18936136294852354
87->88,0.0
88->89,0.06520326171589681
89->90,0.17402847256325646
90->91,0.277699504056755
91->92,0.16063730702017207
92->93,0.0
93->94,0.09975723167365759
94->95,0.08211539396811635
95->96,0.4177540790885424
96->97,0.07186629789695316
97->98,0.03233829114831982
98->99,0.13219333519486048
99->100,0.0
100->101,0.29536867849124665
