,All
51->52,0.09215532347955749
52->53,0.14623753765163733
53->54,0.10554427104660292
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.23165732683700074
60->61,0.29915779047769675
61->62,0.3694179730849796
62->63,0.5235064491521148
63->64,0.0
64->65,0.3570523840310108
65->66,0.0780057052211985
66->67,0.1973965969107573
67->68,0.5131740132650818
68->69,0.0702601826072829
69->70,0.07366303835498346
70->71,0.06520326171589681
71->72,0.36712077116018044
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.06520326171589681
76->77,0.0780057052211985
77->78,0.067500463640696
78->79,0.0
79->80,0.14902035361781743
80->81,0.0
81->82,0.0
82->83,0.07366303835498346
83->84,0.08381709190192062
84->85,0.5077738829941276
85->86,0.20585637354984396
86->87,0.3409085614632557
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.16241550608684038
91->92,0.0
92->93,0.30966303205819923
93->94,0.1976995945261604
94->95,0.1869422450767805
95->96,0.0780057052211985
96->97,0.5169464166411462
97->98,0.06520326171589681
98->99,0.0702601826072829
99->100,0.10554427104660292
100->101,0.4024048595995005
