,All
51->52,0.1
52->53,0.2
53->54,0.1
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.1
60->61,0.2
61->62,0.3
62->63,0.4
63->64,0.0
64->65,0.4
65->66,0.1
66->67,0.2
67->68,0.4
68->69,0.1
69->70,0.1
70->71,0.1
71->72,0.3
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.1
76->77,0.1
77->78,0.1
78->79,0.0
79->80,0.2
80->81,0.0
81->82,0.0
82->83,0.1
83->84,0.1
84->85,0.4
85->86,0.2
86->87,0.4
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.2
91->92,0.0
92->93,0.2
93->94,0.2
94->95,0.25
95->96,0.1
96->97,0.5
97->98,0.1
98->99,0.1
99->100,0.1
100->101,0.3
