,All
51->52,0.3
52->53,0.1
53->54,0.2
54->55,0.1
55->56,0.0
56->57,0.1
57->58,0.05
58->59,0.0
59->60,0.05
60->61,0.0
61->62,0.05
62->63,0.05
63->64,0.0
64->65,0.1
65->66,0.05
66->67,0.0
67->68,0.0
68->69,0.1
69->70,0.15
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.1
74->75,0.0
75->76,0.0
76->77,0.05
77->78,0.0
78->79,0.05
79->80,0.0
80->81,0.1
81->82,0.1
82->83,0.1
83->84,0.1
84->85,0.05
85->86,0.0
86->87,0.25
87->88,0.0
88->89,0.0
89->90,0.1
90->91,0.1
91->92,0.1
92->93,0.3
93->94,0.1
94->95,0.0
95->96,0.1
96->97,0.2
97->98,0.0
98->99,0.1
99->100,0.1
100->101,0.1
