,All
51->52,0.18600687417925232
52->53,0.12517559794750877
53->54,0.12547084122581934
54->55,0.0605151866657346
55->56,0.0714298052245547
56->57,0.11153200546521329
57->58,0.0
58->59,0.07585269423015957
59->60,0.20754860601857036
60->61,0.18519681289947065
61->62,0.215884753377413
62->63,0.08691553073094034
63->64,0.027546501536516357
64->65,0.2812236011455804
65->66,0.030876734103266044
66->67,0.03321624193534839
67->68,0.4260868328752774
68->69,0.041472480692943604
69->70,0.013668405018453901
70->71,0.0
71->72,0.2520711901259572
72->73,0.0
73->74,0.3596393094271711
74->75,0.029443296796549324
75->76,0.06867174388140465
76->77,0.0944570183332253
77->78,0.1754000193683715
78->79,0.04413792621788934
79->80,0.0737469730071924
80->81,0.14586879884238627
81->82,0.06434723360734511
82->83,0.10015864482449569
83->84,0.1857490366530412
84->85,0.38197513481249573
85->86,0.28487303536454317
86->87,0.5224545683306879
87->88,0.0
88->89,0.21893983609849316
89->90,0.06510837538556988
90->91,0.07287785516420332
91->92,0.09345186999780004
92->93,0.26594026732569487
93->94,0.312155001602688
94->95,0.06426164628576532
95->96,0.37373157806741536
96->97,0.1492878044813693
97->98,0.22299257204883677
98->99,0.03503825698365544
99->100,0.15790169747813035
100->101,0.36557043201873
