,All
51->52,0.2968439414601084
52->53,0.0767899926947659
53->54,0.14311210839931574
54->55,0.07908256188505082
55->56,0.06505691535794839
56->57,0.057291606009643795
57->58,0.017651958988418856
58->59,0.0
59->60,0.03632250942291971
60->61,0.016127997260044876
61->62,0.06640237268040164
62->63,0.01938325175275207
63->64,0.0
64->65,0.12645088801811782
65->66,0.03476933501217637
66->67,0.0
67->68,0.0
68->69,0.040220667012594476
69->70,0.1341977048763123
70->71,0.0
71->72,0.030010455199735043
72->73,0.014774023995642552
73->74,0.037561873849053524
74->75,0.0
75->76,0.0
76->77,0.08110023817320218
77->78,0.029528481802571834
78->79,0.034101602610284235
79->80,0.0
80->81,0.08230952960369083
81->82,0.04179531695829276
82->83,0.07636197308094698
83->84,0.11989892457199701
84->85,0.10591050767126967
85->86,0.030355773621352913
86->87,0.22106082726158005
87->88,0.0
88->89,0.0
89->90,0.06322544400905891
90->91,0.11517361015286041
91->92,0.10938361416703223
92->93,0.19194745255542323
93->94,0.15817448414783242
94->95,0.0
95->96,0.039204337652364724
96->97,0.1390949058337436
97->98,0.0
98->99,0.05346215000575392
99->100,0.1133685205169564
100->101,0.10425011430986801
