,All
51->52,0.08
52->53,0.16
53->54,0.12
54->55,0.04
55->56,0.16
56->57,0.12
57->58,0.04
58->59,0.08
59->60,0.2
60->61,0.16
61->62,0.26
62->63,0.12
63->64,0.04
64->65,0.26
65->66,0.04
66->67,0.12
67->68,0.2
68->69,0.08
69->70,0.04
70->71,0.04
71->72,0.12
72->73,0.08
73->74,0.28
74->75,0.02
75->76,0.08
76->77,0.08
77->78,0.12
78->79,0.06
79->80,0.16
80->81,0.08
81->82,0.04
82->83,0.08
83->84,0.16
84->85,0.2
85->86,0.28
86->87,0.32
87->88,0.0
88->89,0.24
89->90,0.12
90->91,0.16
91->92,0.08
92->93,0.04
93->94,0.08
94->95,0.04
95->96,0.26
96->97,0.12
97->98,0.08
98->99,0.12
99->100,0.0
100->101,0.18
