,All
51->52,0.22
52->53,0.12
53->54,0.16
54->55,0.08
55->56,0.08
56->57,0.12
57->58,0.0
58->59,0.1
59->60,0.24
60->61,0.16
61->62,0.24
62->63,0.12
63->64,0.04
64->65,0.2
65->66,0.04
66->67,0.04
67->68,0.32
68->69,0.04
69->70,0.02
70->71,0.0
71->72,0.12
72->73,0.0
73->74,0.28
74->75,0.04
75->76,0.08
76->77,0.08
77->78,0.2
78->79,0.06
79->80,0.08
80->81,0.16
81->82,0.08
82->83,0.12
83->84,0.16
84->85,0.32
85->86,0.28
86->87,0.44
87->88,0.0
88->89,0.28
89->90,0.08
90->91,0.08
91->92,0.12
92->93,0.24
93->94,0.28
94->95,0.06
95->96,0.28
96->97,0.16
97->98,0.16
98->99,0.04
99->100,0.08
100->101,0.28
