,All
51->52,0.026502908855850032
52->53,0.01495441974802827
53->54,0.02464875523786049
54->55,0.01527614571092832
55->56,0.034027777777777775
56->57,0.02931889941362201
57->58,0.0016370565187053836
58->59,0.04955621301775148
59->60,0.04342507645259939
60->61,0.02676864244741874
61->62,0.03913894324853229
62->63,0.018154311649016642
63->64,0.020731707317073172
64->65,0.02737382378100941
65->66,0.03782894736842105
66->67,0.01947502116850127
67->68,0.05238649592549476
68->69,0.0184645286686103
69->70,0.04308093994778068
70->71,0.020833333333333332
71->72,0.02582496413199426
72->73,0.02826086956521739
73->74,0.029523809523809525
74->75,0.045171339563862926
75->76,0.021911138161898967
76->77,0.031426269137792104
77->78,0.025956284153005466
78->79,0.04078947368421053
79->80,0.016544117647058824
80->81,0.03732809430255403
81->82,0.03131991051454139
82->83,0.05229793977812995
83->84,0.045368620037807186
84->85,0.03414351851851852
85->86,0.048407643312101914
86->87,0.04217298070050036
87->88,0.014204545454545454
88->89,0.07092198581560284
89->90,0.033936651583710405
90->91,0.043243243243243246
91->92,0.018092105263157895
92->93,0.04149377593360996
93->94,0.028058361391694726
94->95,0.027450980392156862
95->96,0.06451612903225806
96->97,0.04936530324400564
97->98,0.02849740932642487
98->99,0.03916768665850673
99->100,0.03421461897356143
100->101,0.06306306306306306
