,All
51->52,0.022058823529411766
52->53,0.01639344262295082
53->54,0.022727272727272728
54->55,0.009615384615384616
55->56,0.022222222222222223
56->57,0.024390243902439025
57->58,0.014388489208633094
58->59,0.008264462809917356
59->60,0.03225806451612903
60->61,0.0
61->62,0.008547008547008548
62->63,0.0
63->64,0.0
64->65,0.01818181818181818
65->66,0.0
66->67,0.0
67->68,0.02727272727272727
68->69,0.0
69->70,0.010309278350515464
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.02
74->75,0.0
75->76,0.0
76->77,0.010869565217391304
77->78,0.0
78->79,0.0
79->80,0.01282051282051282
80->81,0.008928571428571428
81->82,0.03125
82->83,0.0
83->84,0.0
84->85,0.008264462809917356
85->86,0.00819672131147541
86->87,0.014492753623188406
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.007246376811594203
92->93,0.0
93->94,0.027777777777777776
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.010638297872340425
99->100,0.025974025974025976
100->101,0.0
