,All
51->52,0.0
52->53,0.0
53->54,0.0
54->55,0.0
55->56,0.0
56->57,0.12987501165334073
57->58,0.0
58->59,0.12987501165334073
59->60,0.1427951440361373
60->61,0.1635413866202963
61->62,0.727329844310522
62->63,0.0
63->64,0.0
64->65,0.4982506457922279
65->66,0.0
66->67,0.0
67->68,0.8364586133797037
68->69,0.20483424751859083
69->70,0.12987501165334073
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.1635413866202963
78->79,0.12987501165334073
79->80,0.522495596791931
80->81,0.0
81->82,0.0
82->83,0.1635413866202963
83->84,0.501749354207772
84->85,0.5637884576902256
85->86,0.7065836017263629
86->87,0.0
87->88,0.0
88->89,0.12987501165334073
89->90,0.1427951440361373
90->91,0.0
91->92,0.0
92->93,0.12987501165334073
93->94,0.6523706084452718
94->95,0.3589542101716347
95->96,0.12987501165334073
96->97,0.0
97->98,0.20483424751859083
98->99,0.0
99->100,0.1635413866202963
100->101,0.6652907408280683
