,All
51->52,0.3
52->53,0.1
53->54,0.3
54->55,0.1
55->56,0.2
56->57,0.3
57->58,0.1
58->59,0.0
59->60,0.4
60->61,0.1
61->62,0.3
62->63,0.0
63->64,0.0
64->65,0.4
65->66,0.0
66->67,0.0
67->68,0.4
68->69,0.0
69->70,0.2
70->71,0.0
71->72,0.2
72->73,0.0
73->74,0.3
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.4
78->79,0.0
79->80,0.2
80->81,0.1
81->82,0.3
82->83,0.1
83->84,0.0
84->85,0.1
85->86,0.2
86->87,0.2
87->88,0.0
88->89,0.2
89->90,0.1
90->91,0.1
91->92,0.1
92->93,0.0
93->94,0.2
94->95,0.0
95->96,0.15
96->97,0.1
97->98,0.2
98->99,0.1
99->100,0.2
100->101,0.1
