,All
51->52,0.16
52->53,0.1
53->54,0.12
54->55,0.04
55->56,0.2
56->57,0.08
57->58,0.0
58->59,0.28
59->60,0.2
60->61,0.16
61->62,0.24
62->63,0.2
63->64,0.0
64->65,0.2
65->66,0.08
66->67,0.04
67->68,0.4
68->69,0.08
69->70,0.16
70->71,0.0
71->72,0.0
72->73,0.04
73->74,0.2
74->75,0.08
75->76,0.04
76->77,0.12
77->78,0.16
78->79,0.0
79->80,0.16
80->81,0.0
81->82,0.04
82->83,0.08
83->84,0.08
84->85,0.36
85->86,0.08
86->87,0.36
87->88,0.0
88->89,0.12
89->90,0.04
90->91,0.16
91->92,0.04
92->93,0.08
93->94,0.12
94->95,0.0
95->96,0.12
96->97,0.2
97->98,0.04
98->99,0.08
99->100,0.12
100->101,0.16
