,All
51->52,0.04
52->53,0.04
53->54,0.02
54->55,0.0
55->56,0.02
56->57,0.08
57->58,0.0
58->59,0.08
59->60,0.02
60->61,0.02
61->62,0.04
62->63,0.04
63->64,0.04
64->65,0.06
65->66,0.04
66->67,0.04
67->68,0.08
68->69,0.04
69->70,0.1
70->71,0.06
71->72,0.02
72->73,0.04
73->74,0.04
74->75,0.06
75->76,0.02
76->77,0.04
77->78,0.04
78->79,0.04
79->80,0.02
80->81,0.0
81->82,0.02
82->83,0.02
83->84,0.06
84->85,0.04
85->86,0.02
86->87,0.12
87->88,0.06
88->89,0.02
89->90,0.02
90->91,0.06
91->92,0.1
92->93,0.08
93->94,0.1
94->95,0.02
95->96,0.06
96->97,0.08
97->98,0.06
98->99,0.08
99->100,0.14
100->101,0.04
