,All
51->52,0.04
52->53,0.04
53->54,0.08
54->55,0.06
55->56,0.0
56->57,0.12
57->58,0.04
58->59,0.04
59->60,0.24
60->61,0.06
61->62,0.04
62->63,0.04
63->64,0.0
64->65,0.14
65->66,0.0
66->67,0.0
67->68,0.24
68->69,0.0
69->70,0.08
70->71,0.04
71->72,0.08
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.04
76->77,0.08
77->78,0.08
78->79,0.04
79->80,0.08
80->81,0.0
81->82,0.0
82->83,0.08
83->84,0.22
84->85,0.12
85->86,0.0
86->87,0.12
87->88,0.02
88->89,0.08
89->90,0.0
90->91,0.04
91->92,0.04
92->93,0.04
93->94,0.04
94->95,0.12
95->96,0.04
96->97,0.0
97->98,0.08
98->99,0.02
99->100,0.12
100->101,0.16
